candidato	color	candidato_label
Keiko_Fujimori	#FF7F00	K. Fujimori
Pedro_Pablo_Kuczynski	#F781BF	P. Kuczynski
Alan_Garcia	#B2182B	A. García
Alejandro_Toledo	#A1D99B	A. Toledo
Cesar_Acuna	#377EB8	C. Acuña
Blanco_viciado	#525252	Blanco y/o viciado
No_sabe_no_opina	#252525	No sabe no opina
Otros_candidatos	#BDBDBD	Otros candidatos
Daniel_Urresti	#FEC44F	D. Urresti
Humberto_Lay	#A65628	H. Lay
Milton_Von_Hesse	#FB6A4A	M. Von Hesse
Veronika_Mendoza	#4DAF4A	V. Mendoza
Renzo_Reggiardo	#08306B	R. Reggiardo
Julio_Guzman	#54278F	J. Guzmán
Ollanta_Humala	#E41A1C	O. Humala
Luis_Castaneda	#FEC44F	L. Castañeda
Hernando_Guerra_Garcia	#FEC44F	H. Guerra García
Alfredo_Barnechea	#E41A1C	A. Barnechea
Gregorio_Santos	#377EB8	G. Santos
otros	#BDBDBD	Otros
ninguno	#252525	Ninguno
George_Forsyth	#B2182B	G. Forsyth
Yonhy_Lescano	#E41A1C	Y. Lescano
Hernando_de_Soto	#F781BF	H. de Soto
Daniel_Salaverry	#377EB8	D. Salaverry
