Encuestadora,link,tipo,Fecha_inicio,Fecha_fin,Poblacion,Ambito,Keiko_Fujimori,Julio_Guzman,Pedro_Pablo_Kuczynski,Cesar_Acuna,Alan_Garcia,Daniel_Urresti,Alejandro_Toledo,Alfredo_Barnechea,Veronika_Mendoza,Renzo_Reggiardo,Hernando_Guerra_Garcia,Lourdes_Flores,Humberto_Lay,Mauricio_Diez_Canseco,Gregorio_Santos,Marco_Arana,Sergio_Tejada,Antero_Flores,Romulo_Mucho,Yehude_Simon,Juan_Eguren,Milton_Von_Hesse,Raul_Castro,Ricardo_Belmont,Vladimir_Cerron,Fernando_Olivera,Miguel_Hilario,Felipe_Castillo,Blanco_viciado,No_sabe_no_opina,Otros_candidatos,Suma
ONPE 99.91 contabilizado,https://resultadoselecciones2016.onpe.gob.pe/PRPCP2016/Resultados-Ubigeo-Presidencial.html#posicion,Elecciones,20160410,20160410,18714305,N UR,32.66,,17.24,,4.78,,1.07,5.71,15.36,,,,,,3.28,,,0.35,,,,,,,,1.08,0.41,,18.07,,,100
CPI,http://rpp.pe/politica/elecciones/cpi-keiko-fujimori-sigue-en-el-primer-lugar-y-veronika-mendoza-se-consolida-en-el-tercero-noticia-950569?ns_source=self&ns_mchannel=portada.home&ns_campaign=content.destacadas&ns_linkname=1,Encuesta,20160330,20160331,1800,N UR,37.3,,15.4,,6.2,,1.1,8.3,13.7,,,,,,3.2,,,,,,,,,,,,,,8.8,4.7,1.2,99.9
El Comercio Ipsos,http://elcomercio.pe/politica/elecciones/encuesta-ipsos-todos-cuadros-ultimo-sondeo-2-noticia-1891394/1,Encuesta,20160330,20160331,1781,N UR,34.4,,16.8,,5.3,,,8,15.5,,,,,,1.9,,,,,,,,,,,,,,15.5,,2.6,100
GFK,http://larepublica.pe/politica/756395-encuesta-gkf-muestra-empate-tecnico-entre-ppk-y-veronika-mendoza,Encuesta,20160328,20160330,1828,N UR,35,,16.1,,5.5,,,9.7,14,,,,,,2.7,,,,,,,,,,,,,,9.9,5.9,1.2,100
Datum,http://elcomercio.pe/politica/elecciones/datum-ppk-16-y-mendoza-148-disputan-segundo-lugar-noticia-1890911?flsm=1,Encuesta,20160328,20160330,1296,N UR,36,,16,,3.4,,0.9,9.3,14.8,,,,,,2.1,,,,,,,,,,,,,,14.2,,3.2,99.9
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201603_03.pdf,Encuesta,20160325,20160327,11355,N UR,34.6,,15,,6,,1,11.3,10.9,,,,,,1.8,,,,,,,,,,,,,,11,6.5,1.9,100
Ipsos,http://peru21.pe/politica/veronika-mendoza-le-saca-ligera-ventaja-alfredo-barnechea-y-se-ubica-tercer-lugar-segun-simulacro-ipsos-2242393,Encuesta,20160322,20160324,1734,N UR,32.1,,16,,6.2,,2,11.1,12.1,,0.9,,,,1,,,,,,,,,,,,,,17.1,,1.5,100
Datum,http://www.datum.com.pe/pdf/PUL03216.pdf,Encuesta,20160317,20160320,1200,N UR,36,,18,,4,,0.9,14,12,,0.5,,,,1,,,,,,,,,,0.4,0.3,,,8,4,0.9,100
GFK,http://larepublica.pe/politica/750054-veronika-mendoza-sube-al-cuarto-lugar-en-encuesta-gfk,Encuesta,20160311,20160315,1611,N UR,33.8,,15.9,,5.8,,1.8,11.8,7.5,,,,,,1.6,,,,,,,,,,,,,,9.3,11,1.5,100
El Comercio Ipsos,http://elcomercio.pe/politica/elecciones/keiko-lidera-308-encima-ppk-151-simulacro-noticia-1887777,Encuesta,20160315,20160317,1715,N UR,30.8,,15.1,,7,,1.1,11.7,11.3,,1,,,,0.9,,,,,,,,,,,0.6,,,19.6,,0.9,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201603_01.pdf,Encuesta,20160313,20160316,1650,N UR,37.6,,15.3,,6.5,,1.4,11.7,9.3,,,,,,2.1,,,,,,,,,,,,,,9.8,4.3,2,100
El Comercio Ipsos,http://elcomercio.pe/politica/elecciones/keiko-fujimori-32-y-ppk-14-salida-guzman-y-acuna-noticia-1885939?flsm=1,Encuesta,20160305,20160310,1851,N UR,32,,14,,6,2,2,9,9,,1,,,,1,,,,,,,,,,,,,,12,10,2,100
Datum,http://cde.peru21.pe/doc/0/0/3/5/7/357971.pdf,Encuesta,20160304,20160307,1200,N UR,37,,14,,8,,,9,7,,,,,,,,,,,,,,,,,,,,6,12,7,100
GFK,http://larepublica.pe/impresa/en-portada/746702-intencion-de-voto-para-elecciones-presidenciales-segun-gfk,Encuesta,20160227,20160301,1552,N UR,34.6,16.6,6.9,3.6,4.3,0.7,1.6,5.1,3.7,0.3,0.3,,,,1.1,,,,,,,,,,0.3,,0.1,,8.4,12.4,,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201602_02.pdf,Encuesta,20160219,20160223,1650,N UR,33.7,18.3,6.8,7.3,6.4,1,1.8,3.8,4.1,,,,,,1.7,,,,,,,,,,,,,,9.2,4.4,1.5,100
El Comercio Ipsos,http://www.ipsos.pe/sites/default/files/opinion_data/Opinion%20Data%20Febrero%202016.pdf,Encuesta,20160213,20160218,1815,N UR,30,18,9,6,5,,2,4,4,2,,,,,,,,,,,,,,,,,,,8,9,3,100
Datum,http://www.datum.com.pe/pdf/PUL0216.pdf,Encuesta,20160205,20160208,1200,N UR,35,17,11,8,4,1,2,3,2,1,0.5,,,,0.8,,,,,0.2,,,,,,0.2,0.1,0.1,4,10,,
CPI,http://servicios.cpi.pe/boletines/opnac201602_01.pdf,Encuesta,20160205,20160209,1650,N UR,34.1,14.1,7.7,12.6,6.2,1.5,2.2,2.1,2.7,1.1,2.2,,,,1.8,,,,,,,,,,,,,,7.7,3.3,0.9,100.2
Datum,http://www.datum.com.pe/pdf/SIM10216.pdf,Encuesta,20160205,20160208,1209,N UR,31,16,11,7,4,1,2,3,2,1,1,,,,1,,,,,,,,,,,,,,14,5,1,
GFK,http://www.gfk.com/fileadmin/user_upload/dyna_content/PE/GfK_OP_Enero_2016_-_Gobierno_y_Lima.pdf,Encuesta,20160122,20160126,1563,N UR,32.6,10.4,9.5,10,6.5,0.9,2.7,0.5,1.9,1.4,0.3,,,,0.6,,,0.1,,0.1,,,,,0.4,,,,9.5,12.6,0,
El Comercio Ipsos,http://www.ipsos.pe/sites/default/files/opinion_data/Opinion%20Data%20Enero%202016.pdf,Encuesta,20160112,20160114,1831,N UR,33,5,13,13,8,2,3,,2,2,2,,,,,,,,,,,,,,,,,,6,8,3,100
Datum,http://peru21.pe/politica/pulso-peru-cesar-acuna-baja-12-10-preferencias-electorado-2236620,Encuesta,20160108,20160111,1200,N UR,35,4,14,10,6,3,3,0.2,2,1,0.3,,,,0.8,,,0.2,,0.3,,,,,0.5,,0.2,,4,15,0.5,100
